 ./electrum-meowcoin-v2.1.0-24-gf18eaa7c3-dirty-x86_64.AppImage --oneserver --server meowelectrum2.testtopper.biz:50002:s -v 
 79.82 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.82 | I | blockchain.Blockchain | LWMA: height=1622912, algo=meowpow, found=9/91, need more headers
 79.82 | I | blockchain.Blockchain | LWMA: height=1622913, detected algo=meowpow from header
 79.82 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.82 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.82 | I | blockchain.Blockchain | LWMA: height=1622913, algo=meowpow, found=10/91, need more headers
 79.82 | I | blockchain.Blockchain | LWMA: height=1622914, detected algo=meowpow from header
 79.82 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.82 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.82 | I | blockchain.Blockchain | LWMA: height=1622914, algo=meowpow, found=11/91, need more headers
 79.82 | I | blockchain.Blockchain | LWMA: height=1622915, detected algo=meowpow from header
 79.82 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.82 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.82 | I | blockchain.Blockchain | LWMA: height=1622915, algo=meowpow, found=12/91, need more headers
 79.82 | I | blockchain.Blockchain | LWMA: height=1622916, detected algo=meowpow from header
 79.82 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.82 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.82 | I | blockchain.Blockchain | LWMA: height=1622916, algo=meowpow, found=13/91, need more headers
 79.82 | I | blockchain.Blockchain | LWMA: height=1622917, detected algo=meowpow from header
 79.82 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.82 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.82 | I | blockchain.Blockchain | LWMA: height=1622917, algo=meowpow, found=14/91, need more headers
 79.82 | I | blockchain.Blockchain | LWMA: height=1622918, detected algo=meowpow from header
 79.82 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.82 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.82 | I | blockchain.Blockchain | LWMA: height=1622918, algo=meowpow, found=15/91, need more headers
 79.82 | I | blockchain.Blockchain | LWMA: height=1622919, detected algo=scrypt from header
 79.82 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.82 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.83 | I | blockchain.Blockchain | LWMA: height=1622919, algo=scrypt, found=23/91, need more headers
 79.83 | I | blockchain.Blockchain | LWMA: height=1622920, detected algo=meowpow from header
 79.83 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.83 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.83 | I | blockchain.Blockchain | LWMA: height=1622920, algo=meowpow, found=16/91, need more headers
 79.83 | I | blockchain.Blockchain | LWMA: height=1622921, detected algo=meowpow from header
 79.83 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.83 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.83 | I | blockchain.Blockchain | LWMA: height=1622921, algo=meowpow, found=17/91, need more headers
 79.83 | I | blockchain.Blockchain | LWMA: height=1622922, detected algo=scrypt from header
 79.83 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.83 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.83 | I | blockchain.Blockchain | LWMA: height=1622922, algo=scrypt, found=24/91, need more headers
 79.83 | I | blockchain.Blockchain | LWMA: height=1622923, detected algo=meowpow from header
 79.83 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.83 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.83 | I | blockchain.Blockchain | LWMA: height=1622923, algo=meowpow, found=18/91, need more headers
 79.83 | I | blockchain.Blockchain | LWMA: height=1622924, detected algo=meowpow from header
 79.83 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.83 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.83 | I | blockchain.Blockchain | LWMA: height=1622924, algo=meowpow, found=19/91, need more headers
 79.83 | I | blockchain.Blockchain | LWMA: height=1622925, detected algo=meowpow from header
 79.83 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.83 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.83 | I | blockchain.Blockchain | LWMA: height=1622925, algo=meowpow, found=20/91, need more headers
 79.83 | I | blockchain.Blockchain | LWMA: height=1622926, detected algo=scrypt from header
 79.83 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.83 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.83 | I | blockchain.Blockchain | LWMA: height=1622926, algo=scrypt, found=25/91, need more headers
 79.83 | I | blockchain.Blockchain | LWMA: height=1622927, detected algo=scrypt from header
 79.83 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.83 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
